"(39.627, -104.91)",1
"(39.627, -104.906)",1
"(39.627, -104.904)",3
"(39.627, -104.902)",1
"(39.627, -104.9)",1
"(39.627, -104.899)",10
"(39.627, -104.895)",7
"(39.627, -104.894)",4
"(39.627, -104.893)",4
"(39.627, -104.892)",5
"(39.627, -104.891)",3
"(39.627, -104.889)",6
"(39.627, -104.888)",9
"(39.627, -104.887)",10
"(39.627, -104.886)",7
"(39.628, -105.109)",10
"(39.628, -105.108)",15
"(39.628, -105.107)",8
"(39.628, -105.106)",11
"(39.628, -105.105)",12
"(39.628, -105.104)",8
"(39.628, -105.103)",5
"(39.628, -105.102)",8
"(39.628, -105.101)",9
"(39.628, -105.1)",8
"(39.628, -105.099)",1
"(39.628, -105.097)",28
"(39.628, -105.096)",29
"(39.628, -105.095)",5
"(39.628, -105.094)",5
"(39.628, -105.093)",1
"(39.628, -105.09)",5
"(39.628, -105.088)",7
"(39.628, -105.087)",10
"(39.628, -105.086)",6
"(39.628, -105.084)",3
"(39.628, -105.083)",15
"(39.628, -105.082)",10
"(39.628, -105.044)",2
"(39.628, -105.043)",4
"(39.628, -105.042)",4
"(39.628, -105.041)",4
"(39.628, -105.04)",5
"(39.628, -105.039)",8
"(39.628, -105.038)",9
"(39.628, -105.037)",4
"(39.628, -105.036)",5
"(39.628, -105.035)",5
"(39.628, -105.034)",3
"(39.628, -105.033)",3
"(39.628, -105.032)",4
"(39.628, -105.031)",3
"(39.628, -105.03)",5
"(39.628, -105.029)",5
"(39.628, -105.028)",3
"(39.628, -104.912)",1
"(39.628, -104.911)",1
"(39.628, -104.91)",273
"(39.628, -104.908)",202
"(39.628, -104.907)",6
"(39.628, -104.905)",1
"(39.628, -104.904)",1
"(39.628, -104.902)",1
"(39.628, -104.901)",1
"(39.628, -104.899)",2
"(39.628, -104.898)",5
"(39.628, -104.896)",12
"(39.628, -104.895)",1
"(39.628, -104.894)",3
"(39.628, -104.893)",6
"(39.628, -104.892)",1
"(39.628, -104.891)",2
"(39.628, -104.889)",9
"(39.628, -104.888)",9
"(39.628, -104.887)",12
"(39.628, -104.886)",9
"(39.629, -105.109)",11
"(39.629, -105.108)",13
"(39.629, -105.107)",14
"(39.629, -105.106)",9
"(39.629, -105.105)",9
"(39.629, -105.104)",12
"(39.629, -105.103)",12
"(39.629, -105.102)",9
"(39.629, -105.101)",5
"(39.629, -105.099)",1
"(39.629, -105.098)",10
"(39.629, -105.097)",8
"(39.629, -105.096)",2
"(39.629, -105.095)",124
"(39.629, -105.094)",8
"(39.629, -105.093)",283
"(39.629, -105.092)",5
"(39.629, -105.091)",1
"(39.629, -105.088)",5
"(39.629, -105.087)",23
"(39.629, -105.086)",6
"(39.629, -105.085)",17
"(39.629, -105.084)",97
"(39.629, -105.083)",11
"(39.629, -105.082)",6
"(39.629, -105.044)",5
"(39.629, -105.043)",6
"(39.629, -105.042)",8
"(39.629, -105.041)",7
"(39.629, -105.04)",7
"(39.629, -105.039)",8
"(39.629, -105.038)",9
"(39.629, -105.037)",9
"(39.629, -105.036)",6
"(39.629, -105.035)",6
"(39.629, -105.034)",6
"(39.629, -105.033)",6
"(39.629, -105.032)",9
"(39.629, -105.031)",9
"(39.629, -105.03)",7
"(39.629, -105.029)",9
"(39.629, -105.028)",9
"(39.629, -105.027)",10
"(39.629, -105.026)",6
"(39.629, -104.913)",32
"(39.629, -104.912)",16
"(39.629, -104.91)",1
"(39.629, -104.909)",2
"(39.629, -104.908)",1
"(39.629, -104.906)",1
"(39.629, -104.905)",1
"(39.629, -104.904)",21
"(39.629, -104.903)",66
"(39.629, -104.902)",66
"(39.629, -104.901)",1
"(39.629, -104.899)",3
"(39.629, -104.898)",20
"(39.629, -104.897)",1
"(39.629, -104.896)",3
"(39.629, -104.895)",7
"(39.629, -104.894)",685
"(39.629, -104.893)",47
"(39.629, -104.892)",6
"(39.629, -104.89)",3
"(39.629, -104.889)",9
"(39.629, -104.888)",11
"(39.629, -104.887)",8
"(39.629, -104.886)",10
"(39.63, -105.109)",8
"(39.63, -105.108)",8
"(39.63, -105.107)",8
"(39.63, -105.106)",10
"(39.63, -105.105)",11
"(39.63, -105.104)",10
"(39.63, -105.103)",8
"(39.63, -105.102)",5
"(39.63, -105.101)",9
"(39.63, -105.1)",6
"(39.63, -105.099)",8
"(39.63, -105.098)",11
"(39.63, -105.097)",10
"(39.63, -105.096)",18
"(39.63, -105.095)",23
"(39.63, -105.094)",12
"(39.63, -105.093)",15
"(39.63, -105.092)",9
"(39.63, -105.091)",3
"(39.63, -105.088)",3
"(39.63, -105.087)",1
"(39.63, -105.086)",14
"(39.63, -105.085)",14
"(39.63, -105.084)",11
"(39.63, -105.083)",1
"(39.63, -105.082)",4
"(39.63, -105.066)",6
"(39.63, -105.044)",5
"(39.63, -105.043)",7
"(39.63, -105.042)",9
"(39.63, -105.041)",7
"(39.63, -105.04)",9
"(39.63, -105.039)",8
"(39.63, -105.038)",8
"(39.63, -105.037)",9
